x,hi,low
228.0,1.1385,1.13834
229.0,1.13848,1.13832
230.0,1.13844,1.13829
231.0,1.13849,1.13834
232.0,1.13846,1.13831
233.0,1.13842,1.13826
234.0,1.13842,1.13827
235.0,1.13836,1.13817
236.0,1.13842,1.13825
237.0,1.13845,1.13829
238.0,1.13849,1.13832
239.0,1.13843,1.13827
240.0,1.1384,1.13825
241.0,1.13844,1.13829
242.0,1.13842,1.13826
243.0,1.13845,1.13829
244.0,1.13843,1.13827
245.0,1.13846,1.1383
246.0,1.13845,1.13831
247.0,1.13842,1.13826
248.0,1.13844,1.13827
249.0,1.13846,1.13832
250.0,1.13846,1.13831
251.0,1.13841,1.13827
252.0,1.13835,1.13821
253.0,1.13836,1.1382
254.0,1.1383,1.13815
255.0,1.13838,1.13821
256.0,1.13829,1.13815
257.0,1.13829,1.13816
258.0,1.13828,1.13812
259.0,1.13825,1.1381
260.0,1.13832,1.13816
261.0,1.13836,1.13821
262.0,1.13835,1.13818
263.0,1.13832,1.13816
264.0,1.13843,1.13827
265.0,1.13841,1.13825
266.0,1.13836,1.1382
267.0,1.13831,1.13815
268.0,1.13834,1.1382
269.0,1.1383,1.13817
270.0,1.1383,1.13815
271.0,1.13827,1.13811
272.0,1.13829,1.13815
273.0,1.13834,1.13819
274.0,1.13833,1.13817
275.0,1.13837,1.13822
276.0,1.13841,1.13825
277.0,1.13836,1.1382
278.0,1.1384,1.13825
279.0,1.13836,1.1382
280.0,1.1384,1.13823
281.0,1.13838,1.13822
282.0,1.13841,1.13826
283.0,1.13838,1.13822
284.0,1.1384,1.13824
285.0,1.1384,1.13824
286.0,1.13838,1.13822
287.0,1.13836,1.1382
288.0,1.13838,1.13824
289.0,1.13835,1.13819
290.0,1.13836,1.1382
291.0,1.13833,1.13817
292.0,1.13835,1.1382
293.0,1.13844,1.1383
294.0,1.13846,1.13831
295.0,1.13848,1.13832
296.0,1.13845,1.13829
297.0,1.13841,1.13826
298.0,1.13851,1.13835
299.0,1.13857,1.13842
300.0,1.13856,1.1384
301.0,1.13859,1.13844
302.0,1.13859,1.13844
303.0,1.13858,1.13841
304.0,1.13853,1.13838
